id,cd,emd
03001627/3919e93cc1f3bf5bd7f7a4c4609b0913,0.00736526,0.0039159884
03001627/24cd35785c38c6ccbdf89940ba47dea,0.017630287,0.0026970895
03001627/52b667b2014bdf0482db9fca4b68095,0.010743745,0.0026308086
03001627/c2220851bf50eda931ecc34700496180,0.007320245,0.0035497672
03001627/48fe63616e70f84778ae896933c670d1,0.009576108,0.0029705702
03001627/faef9e4cff5fa61987be36ce60737655,0.0065310737,0.0025269722
03001627/6cc65de3b510406ba0c5548d84070f68,0.009388595,0.0029168485
03001627/3de9797fbf88fc35d97fd0ea4791ae93,0.01008991,0.004079114
03001627/730fc3ae87640d952c528d33bca1ac2,0.0070602223,0.0036214294
03001627/933902ec014c6d487135fc51795b4038,0.01524009,0.0023647398
03001627/74500999671b4c99d7bf6fb68df7f786,0.0060788332,0.0023532673
03001627/27c00ec2b6ec279958e80128fd34c2b1,0.0072571603,0.002620538
03001627/4c3f655507cc6aecdbe9c90af547c85d,0.015542617,0.0022880302
03001627/bbcdf9d0ecf02e7e9fce07ae6c046b8c,0.0073516304,0.0025414352
03001627/c394dfc3c8573d1b19fb4103277a6b93,0.009767409,0.0022012682
03001627/8920c0e0737409e29f2349486c570dd4,0.009751176,0.003745781
03001627/6aeaf646d526b41025a1c5ed6eeac95c,0.006897972,0.0029944181
03001627/1d1b37ce6d72d7855096c0dd2594842a,0.009488001,0.0036338028
03001627/62c3b6eea96337609ae676623bdd3284,0.0075106677,0.004960976
03001627/30378faa6bf5b245fdef1c01cbd4ae0c,0.009390097,0.0029288398
03001627/fb9f11f128e006d2498725b9a1405ebb,0.0077509773,0.00337353
03001627/49918114029ce6a63db5e7f805103dd,0.00540853,0.0019350832
03001627/d417795442cb0f75593ebeeedbff73b,0.0126908505,0.0033476194
03001627/9bda786a525b1ef93a11565e5be9cf53,0.009264475,0.0029819002
03001627/b6ff694af011b45f4f52551bb6d0494,0.009922961,0.003636447
03001627/a5a2d09e5384237869513d0907f19c8f,0.008209061,0.003269599
03001627/99ae1b3f970c61fd5b56aadec5c0be6b,0.006353985,0.0014041001
03001627/7182f94bdd17c0ecd6bbf317cb591f56,0.0074939495,0.0025678065
03001627/2c40da664d4e736b972d35c68e1bdca3,0.0074897935,0.0037947712
03001627/91b8fe4616208bd4cf752e9bed38184f,0.0053133573,0.0016619214
03001627/879ffa2150c4537d6afcce3b00733da,0.008333484,0.0034943821
03001627/d9af882ab6d1cbbd492d9da2668ec34c,0.010574543,0.0036507184
03001627/e0276adea0d4f4bf1783a44a88d6274,0.008327438,0.0026574368
03001627/8f0deb6b599006a22cc460e9d064e57d,0.011632746,0.0022993
04379243/2908340693e3dbbd8608f23147a4e121,0.0045218216,0.0013549079
04379243/3bcd7dc964487b1ae6c5cd45aa112726,0.005322894,0.002507692
04379243/388ea3f8ba27da8b777b6246417c94ff,0.01295873,0.0023833143
04379243/d5ca71b9b9ca6e5041b73991ca70550f,0.0092638405,0.0036655325
04379243/8cecee14e55bf1f4c255a5f53b753fe4,0.01292349,0.0019791822
04379243/b6ad7be371729438dcfcef693e7ec696,0.0072091417,0.003021944
04379243/654d6b82543a863c3bd24f986301745,0.0054816864,0.003035121
04379243/562288b15bd065d4b29ac64be50e118a,0.0044803075,0.002269834
04379243/6e029f7d5901aa2e2e4e89f168578552,0.0064501613,0.00385314
04379243/1011e1c9812b84d2a9ed7bb5b55809f8,0.006029575,0.0028093643
04379243/cd01fd75885d9f606ce1f91756352daf,0.004369617,0.0021588346
04379243/6292216ef69f6edb11c5cce13f76151,0.0060811206,0.0037879294
04379243/3c9a23693b76e2f8acb16624e184454c,0.017037172,0.0037116178
04379243/8c3e8ef43fdacf68230ea05136ea3925,0.005710047,0.0026808805
04379243/8768002c872788b8e513931a191fd77c,0.0056450786,0.0022600484
04379243/603e2237e14611f9d4091fbf7990ddf0,0.0060450975,0.0020105476
04379243/79a3bd60b48584b11ea954af295a6a98,0.00596812,0.002757385
04379243/8be1ff29a5088b482822b5101b06e070,0.008318804,0.0027594985
04379243/6dedce56f7f60da423f7198a00163bb6,0.0057139117,0.002422885
04379243/b28f6acc151cc20e19fb4103277a6b93,0.0067235483,0.0025896865
04379243/58f8fd169c9578e62f81cb887dc35578,0.009839082,0.0023365049
04379243/cc5b638d81529dde3c2e50348f23d3d,0.007315812,0.004550298
